"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","DEPRECATED healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","supplier","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-07-28","SATIN-CHAMPAGNE-KING","X003RX7APL","B0BZPXJH4Q","DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Champagne - 01)","New","29","7","0","10","27","0","0","0","0","USD","3","12","55","116","Low traffic","33.95","0.0","33.95","0.0","CreateShippingPlan","","0.0","0","0","0.0","1.34","0.253113","cubic feet","Standard","7.340277","US","gl_home","1021344","103","0","9","3","33.95","105.22","403.86","1881.75","4007.15","2","5","3","0","0","2.39","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","122.3","12","Healthy","","","2026-07-27","Yes","No","122.3","66.1","2026-07-25","36","1","0","0","106","unassigned","N","","",""
"2026-07-28","SATIN-ROSEWOOD-KING-6PCS","X003UMBN11","B0C7FP1L1V","DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Rosewood)","","0","0","0","3","2","0","0","0","0","USD","15","46","90","123","","0.0","0.0","30.95","0.0","CreateShippingPlan","","","0","0","","1.68","0.233992","cubic feet","Standard","0.0","US","gl_home","15592","0","0","0","0","30.95","468.24","1455.49","2850.09","3938.43","0","1","2","0","0","","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","55.5","52","Out of stock","124","2026-07-28","2026-07-27","Yes","No","19.4","55.5","2026-07-25","0","1","0","0","0","unassigned","N","","",""
"2026-07-28","SL-COOLING-FITTED-KING-WHITE","X004OD8BAV","B0F7M3YQ5R","SLEEPHORIA Cooling Fitted Sheet King Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft, Ultra Durable - 73 x 77 in (White)","New","144","188","0","335","0","0","0","0","0","USD","40","74","76","82","","36.99","0.0","34.99","0.0","NoExcessInventory","","0.0","0","0","0.0","0.94","0.16356","cubic feet","Standard","23.55264","US","gl_home","26032","70","0","8","23","34.99","1399.6","2612.26","2688.24","2886.18","335","0","0","0","0","117.1","5","0","0","5","","4","0","","","","","","","","","","","","","","","","","60.5","181","Healthy","","","2026-07-27","No","No","60.5","54.4","2026-07-25","337","3","1","0","71","unassigned","N","","",""
"2026-07-28","BM-QUEEN-PINK","X0045ATWR9","B0CWJ2X18T","DECOLURE Cooling Sheets Queen Set 4pcs - Luxurious & Ultra-Soft Cooling Bed Sheets Queen Size for Hot Sleepers - Comfortable Bamboo Viscose Microfiber Queen Bed Sheets Set Cooling (Pink)","New","27","1","0","2","8","22","0","0","0","USD","13","48","92","122","","37.95","0.0","37.94","0.0","CreateShippingPlan","","0.0","0","0","0.0","1.22","0.218001","cubic feet","Standard","5.886027","US","gl_home","71718","18","0","2","2","37.94","493.22","1813.87","3462.77","4622.27","2","0","0","22","0","7.62","0","0","0","0","","2","0","1","0.11","22","4.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","78.6","49","Low stock","62","2026-08-04","2026-07-27","Yes","No","34.6","78.6","2026-07-25","28","1","1","0","20","unassigned","N","","",""
"2026-07-28","SATIN-RED-FULL","X002O64ILV","B08KRHBD49","DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Red)","New","73","30","0","108","0","0","0","0","0","USD","7","42","80","114","","29.95","0.0","29.94","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","1.38","0.219381","cubic feet","Standard","16.014813","US","gl_home","4372","85","0","6","8","29.94","209.59","1247.54","2372.79","3476.69","108","0","0","0","0","14.4","0","0","0","0","","3","1","","","","","","","","","","","","","","","","","51.7","67","Healthy","55","2026-08-04","2026-07-27","Yes","No","48.9","51.7","2026-07-25","103","1","2","0","88","unassigned","N","","",""
"2026-07-28","BAMBOO-QUEEN-PURPLE","X003TODVH9","B0BZQ3ZGNG","DECOLURE 100% Viscose Derived from Bamboo Sheets Queen Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Purple)","New","51","1","0","63","0","0","0","0","0","USD","8","58","73","91","","79.99","0.0","79.99","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","2.43","0.266028","cubic feet","Standard","13.567428","US","gl_home","9485","87","0","6","12","79.99","619.92","4533.42","5687.27","7056.54","63","0","0","0","0","9.0","36","0","30","6","","3","0","","","","","","","","","","","","","","","","","39.1","88","Low stock","84","2026-08-04","2026-07-27","Yes","No","39.1","33.5","2026-07-25","88","2","1","0","91","unassigned","N","","",""
"2026-07-28","BAMBOO-KING-BURGUNDY-NEW","X0043AHR7X","B0CRHYYVZQ","DECOLURE 100% Viscose Derived from Bamboo Sheets King Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Burgundy)","New","381","0","0","392","0","0","0","0","0","USD","25","83","212","281","","84.99","0.0","71.24","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.84","0.327007","cubic feet","Standard","124.589667","US","gl_home","9485","222","0","21","20","84.99","1802.25","6330.44","16031.93","21699.99","138","102","152","0","0","84.31","71","0","48","23","","7","0","","","","","","","","","","","","","","","","","116.2","147","Healthy","","","2026-07-27","Yes","No","105.8","116.2","2026-07-25","452","4","3","0","227","unassigned","N","","",""
"2026-07-28","SL-COOLING-FITTED-QUEEN-WHITE","X004OD09D3","B0F7M5PNCT","SLEEPHORIA Cooling Fitted Sheet Queen Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft, Ultra Durable - 57 x 77 in (White)","New","141","102","0","252","0","0","0","0","0","USD","24","64","114","234","","33.99","0.0","31.99","0.0","GoToRestock","","0.0","0","0","0.0","1.97","0.149204","cubic feet","Standard","21.037764","US","gl_home","26032","77","0","8","7","31.99","765.76","1975.36","3474.86","7103.66","252","0","0","0","0","115.89","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","45.5","122","Healthy","","","2026-07-27","No","No","45.5","27.3","2026-07-25","243","0","1","0","77","unassigned","N","","",""
"2026-07-28","SL-CLG-COMF-LIGHT-GREY/DARK-GREY-FULL","X004ZF6ONJ","B0GHSG5G12","SLEEPHORIA Cooling Comforter - BreezeWeave Cooling Blanket Full Size for Hot Sleepers & Deep Rest - Cloud Soft, Breathable, Ultra Durable, Easy Care, Reversible - 86 x 82 in (Light Grey & Dark Grey)","New","120","0","0","125","0","0","0","0","0","USD","9","11","12","12","","59.99","0.0","54.99","0.0","Edit listing","","","0","0","","0.09","0.704123","cubic feet","Standard","84.49476","US","gl_home","67231","99","0","43","130","54.99","494.91","674.89","764.88","764.88","1","37","87","0","0","","0","0","0","0","","3","0","","","","","","","","","","","","","","","","","245.3","20","Healthy","","","2026-07-27","Yes","No","111.2","245.3","2026-07-25","120","2","1","0","101","unassigned","N","","",""
"2026-07-28","BAMBOO-KING-BURGUNDY-6PCS","X004386ZL9","B0CQ32NPF5","DECOLURE 100% Viscose Derived from Bamboo Sheets King Size - Luxury 6 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Burgundy)","New","11","1","0","19","0","0","0","0","0","USD","14","52","52","52","","89.99","0.0","89.99","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","3.71","0.347283","cubic feet","Standard","3.820113","US","gl_home","9357","70","0","15","51","89.99","1219.86","4416.56","4416.56","4416.56","19","0","0","0","0","0.75","196","84","112","0","","6","0","","","","","","","","","","","","","","","","","32.9","133","Low stock","38","2026-08-04","2026-07-27","No","No","27.5","32.9","2026-07-25","208","5","1","0","118","unassigned","N","","",""
"2026-07-28","DC-BAMBOO-FITTED-QUEEN-LIGHT-GREY-1PC","X004W87P5Z","B0FX2TPJ2J","DECOLURE 100% Viscose Derived from Bamboo Fitted Sheet | Queen Size Fitted Sheet Only | Ultra Soft Cooling Sheets for Hot Sleepers, 17"" Deep Pocket w/Corner Straps, Breathable, Oeko-Tex (Light Grey)","New","83","4","0","88","0","0","0","0","0","USD","7","24","24","24","","31.95","0.0","31.95","0.0","NoRestockExcessActionRequired","","","0","0","","0.28","0.227894","cubic feet","Standard","18.915202","US","gl_home","40126","77","0","13","44","31.95","223.65","730.8","730.8","730.8","0","0","88","0","0","","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","147.0","62","Healthy","27","2026-08-04","2026-07-27","Yes","No","122.0","147.0","2026-07-25","87","1","0","0","77","unassigned","N","","",""
