snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-366-to-455-days,inv-age-456-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-366-455-days,estimated-ais-366-455-days,quantity-to-be-charged-ais-456-plus-days,estimated-ais-456-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments),supplier,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date
2026-04-30,BAMBOO-QUEEN-PURPLE,X003TODVH9,B0BZQ3ZGNG,"DECOLURE 100% Viscose Derived from Bamboo Sheets Queen Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Purple)",New,26,0,27,0,0,0,0,0,USD,3,3,5,37,,99.99,0,99.99,0,CreateShippingPlan,,,0,0,,2.28,0.266028,cubic feet,Standard,6.916728,US,gl_home,11515,36,0,66,17,99.99,216.89,216.89,386.87,2766.55,27,0,0,0,0,,24,24,0,0,,0,0,,,,,,,,,,,,,,,,,207,37,Low stock,11,2026-05-06,2026-04-27,Yes,No,207,22.8,2026-04-27,50,0,0,0,65,unassigned,N,,,
2026-04-30,SL-COOLING-FITTED-KING-WHITE,X004OD8BAV,B0F7M3YQ5R,"SLEEPHORIA Cooling Fitted Sheet King Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft, Ultra Durable - 73 x 77 in (White)",,0,0,3,0,0,0,0,0,USD,17,129,232,263,,0,0,32.99,0,CreateShippingPlan,,,0,0,,1.67,0.16356,cubic feet,Standard,0,US,gl_home,33953,0,0,0,0,32.99,564.83,4479.71,7857.68,8632.37,2,1,0,0,0,,0,0,0,0,,4,0,,,,,,,,,,,,,,,,,63.9,122,Out of stock,231,2026-04-30,2026-04-27,No,No,18,63.9,2026-04-27,0,0,2,2,0,unassigned,N,,,
2026-04-30,SATIN-RED-FULL,X002O64ILV,B08KRHBD49,"DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Red)",New,89,0,99,0,0,0,0,0,USD,4,27,41,66,,29.95,0,29.95,0,NoRestockExcessActionRequired,,0,0,0,0,0.98,0.219381,cubic feet,Standard,19.524909,US,gl_home,10574,72,0,13,17,28.45,119.8,804.56,1259.86,2008.61,0,99,0,0,0,11.92,0,0,0,0,,6,0,,,,,,,,,,,,,,,,,126.8,70,Healthy,39,2026-05-06,2026-04-27,Yes,No,126.8,76.4,2026-04-27,89,0,6,0,79,unassigned,N,,,
2026-04-30,SATIN-ROSEWOOD-KING-6PCS,X003UMBN11,B0C7FP1L1V,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Rosewood)",New,116,0,11,0,113,0,0,0,USD,5,38,74,115,,31.95,0,31.95,0,NoExcessInventory,,0,0,0,0,0.63,0.233992,cubic feet,Standard,27.143072,US,gl_home,24922,124,0,12,13,31.95,159.75,1213.86,2379.06,3689.01,3,5,3,113,0,38.19,0,0,0,0,,9,0,0,0,113,26.43,0,0,0,0,0,0,0,0,0,0,0,0,144.6,59,Healthy,,,2026-04-27,Yes,No,112,144.6,2026-04-27,118,2,4,3,132,unassigned,N,,,
2026-04-30,BAMBOO-KING-BURGUNDY-NEW,X0043AHR7X,B0CRHYYVZQ,"DECOLURE 100% Viscose Derived from Bamboo Sheets King Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Burgundy)",New,160,0,180,0,0,0,0,0,USD,20,79,166,280,,84.99,0,84.99,0,NoRestockExcessActionRequired,,0,0,0,0,1.52,0.327007,cubic feet,Standard,52.32112,US,gl_home,11515,156,0,19,18,84.99,1663.46,6484.41,13505.79,22513.13,133,9,38,0,0,49.03,234,120,72,42,,82,0,,,,,,,,,,,,,,,,,55.1,200,Healthy,,,2026-04-27,Yes,No,53.9,55.1,2026-04-27,468,74,8,0,215,unassigned,N,,,
2026-04-30,SATIN-CHAMPAGNE-KING,X003RX7APL,B0BZPXJH4Q,"DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Champagne)",New,145,0,62,91,0,0,0,0,USD,11,87,155,240,,33.95,0,33.95,0,CreateShippingPlan,,0,0,0,0,0.9,0.253113,cubic feet,Standard,36.701385,US,gl_home,10574,56,0,6,7,33.95,380.25,2710.66,5162.52,7852.14,2,42,18,0,0,19.39,0,0,0,0,,8,0,,,,,,,,,,,,,,,,,104.5,82,Healthy,,,2026-04-27,Yes,No,67.9,104.5,2026-04-27,147,2,6,0,56,unassigned,N,,,
2026-04-30,BM-QUEEN-PINK,X0045ATWR9,B0CWJ2X18T,DECOLURE Cooling Sheets Queen Set 4pcs - Luxurious & Ultra-Soft Cooling Bed Sheets Queen Size for Hot Sleepers - Comfortable Bamboo Viscose Microfiber Queen Bed Sheets Set Cooling (Pink),New,137,0,8,144,0,0,0,0,USD,3,27,64,86,,58.95,0,58.95,0,Create Outlet deal,,27.97,2,0,6727.56,0.43,0.218001,cubic feet,Standard,29.866137,US,gl_home,99235,366,144,20,20,58.95,113.85,1042.65,2446.8,3281.7,1,0,7,0,0,22.22,0,0,0,0,,13,0,,,,,,,,,,,,,,,,,211.4,14,Excess,,,2026-04-27,Yes,No,174.4,211.4,2026-04-27,144,7,6,0,366,unassigned,N,,,
2026-04-30,SL-COOLING-FITTED-QUEEN-WHITE,X004OD09D3,B0F7M5PNCT,"SLEEPHORIA Cooling Fitted Sheet Queen Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft, Ultra Durable - 57 x 77 in (White)",New,142,0,3,2,147,0,0,0,USD,24,106,182,205,,29.99,0,29.99,0,NoExcessInventory,,0,0,0,0,0.72,0.149204,cubic feet,Standard,21.186968,US,gl_home,33953,50,0,5,9,29.99,719.76,3336.94,5598.18,6126.95,1,1,1,147,0,105.02,0,0,0,0,,22,0,0,0,0,0,0,0,147,119.54,0,0,0,0,0,0,0,0,143.5,91,Healthy,27,2026-05-07,2026-04-27,Yes,No,67.4,143.5,2026-04-27,152,10,11,1,54,unassigned,N,,,
2026-04-30,SATIN-FITTED-QUEEN-BABY-BLUE,X004CBS4O3,B0DBW19662,"DECOLURE Satin Fitted Sheet Queen Size (1 PC) – Luxuriously Smooth & Softer Than Silk Bed Sheets w/ 15 Inch Deep Pocket Hypoallergenic Wrinkle Free, Secure Snug Fit, Elastic Corner Straps (Baby Blue)",New,216,0,148,78,0,0,0,0,USD,23,75,131,183,,17.95,0,17.95,0,NoRestockExcessActionRequired,,0,0,0,0,0.69,0.161166,cubic feet,Standard,34.811856,US,gl_home,14844,74,0,15,21,17.95,405.85,1332.25,2344.45,3277.85,42,102,4,0,0,22.64,80,80,0,0,,5,0,,,,,,,,,,,,,,,,,130.9,153,Healthy,,,2026-04-27,No,No,98.6,130.9,2026-04-27,297,1,1,3,109,unassigned,N,,,
2026-04-30,SATIN-STRIPE-FULL-WHITE--6-PCS,X003UOAM39,B0C7K2B1Y3,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Striped White)",New,78,0,1,0,0,60,10,8,USD,1,8,16,18,,29.95,0,29.95,0,Create Outlet deal,,17.47,2,0,3044.02,0.2,0.225745,cubic feet,Standard,17.60811,US,gl_home,24922,366,78,39,56,29.95,29.95,184.7,359.4,419.3,1,0,0,60,0,114.92,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,60,77.2,0,0,10,15.58,8,14.27,476.2,8,Excess,,,2026-04-27,Yes,No,223.9,476.2,2026-04-27,78,0,0,0,366,unassigned,N,,,
